Time,Torque,Temp_1,Temp_2
1628271975.42, -228.27,74.49,74.06
1628271975.47, -228.90,74.47,74.33
1628271975.51, -228.90,74.45,74.41
1628271975.56, -228.90,74.48,74.27
1628271975.60, -229.85,74.41,74.13
1628271975.64, -230.66,74.41,74.11
1628271975.69, -230.66,74.39,73.98
1628271975.73, -230.66,74.49,74.15
1628271975.78, -231.44,74.45,74.13
1628271975.82, -232.53,74.47,74.07
1628271975.87, -233.59,74.48,74.11
1628271975.91, -234.42,74.48,74.15
1628271975.95, -233.73,74.49,74.09
1628271976.00, -233.73,74.45,74.16
1628271976.04, -233.73,74.40,74.08
1628271976.09, -232.78,74.40,74.10
1628271976.13, -230.40,74.41,74.24
1628271976.18, -228.56,74.49,74.29
1628271976.22, -227.98,74.42,73.96
1628271976.27, -227.98,74.44,74.27
1628271976.31, -227.98,74.47,74.30
1628271976.36, -226.83,74.49,74.31
1628271976.40, -225.93,74.39,74.28
1628271976.44, -225.93,74.40,74.33
1628271976.49, -225.93,74.42,73.92
1628271976.53, -225.93,74.41,74.18
1628271976.58, -226.48,74.42,74.30
1628271976.62, -226.48,74.48,74.22
1628271976.67, -228.66,74.35,74.29
1628271976.71, -229.44,74.48,74.21
1628271976.75, -229.44,74.48,74.04
1628271976.80, -229.44,74.39,73.99
1628271976.84, -229.44,74.44,74.30
1628271976.89, -229.95,74.49,74.03
1628271976.93, -230.46,74.42,74.29
1628271976.98, -230.98,74.40,74.03
1628271977.02, -230.98,74.48,74.07
1628271977.07, -230.47,74.45,74.07
1628271977.11, -232.53,74.43,74.11
1628271977.15, -233.82,74.48,74.06
1628271977.20, -233.82,74.46,74.17
1628271977.24, -233.82,74.42,74.13
1628271977.29, -232.86,74.43,74.19
1628271977.33, -232.86,74.43,74.10
1628271977.38, -231.51,74.43,74.00
1628271977.42, -229.75,74.50,74.09
1628271977.46, -228.94,74.38,74.27
1628271977.51, -227.68,74.43,74.19
1628271977.55, -227.06,74.40,73.98
1628271977.59, -227.06,74.42,74.47
1628271977.64, -227.06,74.45,73.94
1628271977.68, -226.40,74.48,74.00
1628271977.73, -225.34,74.46,74.15
1628271977.77, -225.34,74.37,74.11
1628271977.82, -226.10,74.49,73.86
1628271977.86, -227.25,74.44,73.94
1628271977.91, -228.03,74.55,74.18
1628271977.95, -228.03,74.30,74.36
1628271978.00, -229.81,74.40,74.30
1628271978.04, -229.81,74.52,74.21
1628271978.09, -229.81,74.45,74.14
1628271978.13, -229.81,74.37,74.02
1628271978.17, -229.81,74.50,73.73
1628271978.22, -229.81,74.45,73.81
1628271978.26, -230.64,74.42,73.90
1628271978.31, -230.64,74.51,74.20
1628271978.35, -230.64,74.52,73.99
1628271978.40, -231.89,74.45,74.14
1628271978.44, -233.28,74.43,74.09
1628271978.49, -233.87,74.46,73.91
1628271978.53, -233.87,74.43,74.09
1628271978.57, -232.94,74.50,74.35
1628271978.62, -231.95,74.51,74.16
1628271978.66, -230.38,74.43,74.05
1628271978.71, -229.58,74.46,74.12
1628271978.75, -228.49,74.44,74.23
1628271978.80, -227.16,74.48,74.33
1628271978.84, -227.67,74.49,74.00
1628271978.89, -226.98,74.52,74.29
1628271978.93, -226.47,74.45,74.12
1628271978.98, -225.37,74.33,74.10
1628271979.02, -225.37,74.42,74.35
1628271979.07, -225.37,74.50,74.08
1628271979.11, -226.46,74.46,74.01
1628271979.16, -227.52,74.50,74.07
1628271979.20, -227.52,74.48,74.17
1628271979.24, -228.56,74.47,74.34
1628271979.29, -229.50,74.46,74.16
1628271979.33, -229.50,74.52,74.12
1628271979.38, -230.27,74.46,74.11
1628271979.42, -229.70,74.38,74.23
1628271979.47, -229.70,74.54,74.03
1628271979.51, -230.38,74.38,74.08
1628271979.56, -230.89,74.44,74.34
1628271979.60, -230.89,74.47,74.17
1628271979.64, -230.89,74.41,74.31
1628271979.69, -232.71,74.42,74.16
1628271979.73, -233.73,74.46,74.13
1628271979.78, -233.73,74.44,74.29
1628271979.82, -233.73,74.47,74.35
1628271979.87, -232.07,74.43,74.11
1628271979.91, -232.07,74.49,74.21
1628271979.96, -230.06,74.49,74.01
1628271980.00, -229.25,74.45,74.05
1628271980.05, -228.12,74.42,74.11
1628271980.09, -227.33,74.45,74.10
1628271980.14, -227.33,74.47,74.16
1628271980.18, -226.73,74.43,73.94
1628271980.22, -226.73,74.49,73.94
1628271980.27, -225.57,74.50,73.90
1628271980.31, -225.02,74.43,73.97
1628271980.36, -225.90,74.44,74.06
1628271980.40, -226.90,74.46,74.10
1628271980.45, -228.12,74.40,74.15
1628271980.49, -228.72,74.33,74.16
1628271980.54, -228.72,74.53,74.13
1628271980.58, -229.55,74.41,74.21
1628271980.62, -230.12,74.38,74.26
1628271980.67, -230.12,74.35,74.09
1628271980.71, -230.12,74.30,74.16
1628271980.76, -229.58,74.41,73.93
1628271980.80, -230.17,74.37,73.97
1628271980.84, -230.89,74.41,74.05
1628271980.89, -230.89,74.35,74.19
1628271980.93, -232.20,74.33,74.05
1628271980.98, -232.20,74.29,74.10
1628271981.02, -233.32,74.46,73.92
1628271981.07, -233.32,74.44,74.24
1628271981.11, -233.32,74.37,74.16
1628271981.16, -232.31,74.44,74.05
1628271981.20, -230.01,74.36,73.83
1628271981.24, -229.21,74.44,74.00
1628271981.29, -228.70,74.46,74.06
1628271981.33, -228.70,74.40,74.12
1628271981.38, -227.61,74.40,74.29
1628271981.42, -226.51,74.45,74.13
1628271981.47, -226.51,74.41,74.15
1628271981.51, -226.51,74.44,74.12
1628271981.56, -225.85,74.43,74.18
1628271981.60, -225.85,74.39,73.87
1628271981.64, -225.85,74.36,74.02
1628271981.69, -226.88,74.37,74.02
1628271981.73, -228.28,74.39,74.01
1628271981.77, -228.94,74.37,74.08
1628271981.82, -229.60,74.45,74.11
1628271981.86, -229.60,74.40,74.12
1628271981.90, -229.60,74.46,74.31
1628271981.94, -229.60,74.38,74.13
1628271981.99, -229.60,74.41,73.85
1628271982.03, -230.31,74.44,74.20
1628271982.07, -230.82,74.46,73.96
1628271982.12, -230.82,74.37,74.10
1628271982.16, -231.35,74.45,73.95
1628271982.20, -232.53,74.37,74.05
1628271982.24, -232.53,74.40,74.06
1628271982.29, -232.53,74.39,74.20
1628271982.33, -232.53,74.46,73.95
1628271982.37, -232.53,74.42,73.99
1628271982.42, -232.53,74.43,74.24
1628271982.46, -231.25,74.47,73.89
1628271982.50, -229.72,74.47,74.31
1628271982.54, -229.10,74.37,74.13
1628271982.59, -228.42,74.43,73.91
1628271982.63, -227.33,74.51,74.09
1628271982.68, -226.75,74.35,74.15
1628271982.72, -226.75,74.49,74.20
1628271982.76, -225.90,74.39,74.16
1628271982.81, -225.90,74.37,74.01
1628271982.85, -225.19,74.39,73.95
1628271982.90, -225.19,74.46,73.81
1628271982.94, -226.05,74.43,73.97
1628271982.98, -227.46,74.42,74.03
1628271983.03, -228.31,74.40,74.03
1628271983.07, -229.07,74.40,74.02
1628271983.11, -229.07,74.42,74.16
1628271983.16, -229.07,74.43,73.87
1628271983.20, -229.69,74.44,73.98
1628271983.25, -229.69,74.42,74.26
1628271983.29, -230.26,74.34,73.89
1628271983.34, -230.26,74.39,74.23
1628271983.38, -230.26,74.45,73.99
1628271983.42, -230.26,74.42,74.18
1628271983.47, -231.33,74.45,74.09
1628271983.51, -232.56,74.35,73.98
1628271983.56, -232.56,74.40,74.10
1628271983.60, -232.56,74.44,74.01
1628271983.65, -232.56,74.40,74.06
1628271983.69, -232.56,74.40,74.08
1628271983.74, -230.80,74.36,74.07
1628271983.78, -229.54,74.37,73.94
1628271983.82, -227.96,74.43,74.14
1628271983.87, -227.96,74.41,74.00
1628271983.91, -227.96,74.40,73.99
1628271983.96, -227.16,74.44,74.10
1628271984.00, -226.44,74.39,74.14
1628271984.05, -225.23,74.40,73.74
1628271984.09, -223.49,74.39,74.12
1628271984.13, -216.89,74.39,74.08
1628271984.17, -170.32,74.35,74.04
1628271984.22, -171.90,74.37,74.03
1628271984.26, -172.83,74.35,74.02
1628271984.30, -173.45,74.35,74.01
1628271984.35, -173.45,74.35,73.98
1628271984.39, -174.30,74.36,74.02
1628271984.43, -174.30,74.35,74.02
1628271984.47, -174.30,74.34,74.01
